athleteId,schoolYear,sport,grade,nRaces,best800,best1500,best3000,best5000,bestAny
841,2004,tfo,11,1,,,,,11.01
841,2005,tfo,12,2,,,,,10.89
855,2004,tfo,12,2,,,,,28.23
856,2004,tfo,12,3,,299.8,670.12,,299.8
857,2004,tfo,12,2,,325.2,696.3,,325.2
858,2004,tfo,12,1,145.19,,,,145.19
859,2004,tfo,10,2,189.9,,,,80.14
860,2004,tfo,10,2,153.6,,748.1,,153.6
860,2005,xc,11,1,,,,1373,1373
860,2005,tfo,11,3,164.2,334.2,,,164.2
860,2006,xc,12,9,,,,1264,1264
862,2004,tfo,11,1,,,,,60.52
862,2005,xc,12,1,,,,1281,1281
862,2005,tfo,12,3,152.03,,,,27.64
863,2004,tfo,11,2,,,,,13.17
863,2005,tfo,12,1,,,,,13.32
864,2004,tfo,10,3,,,,,14.14
865,2005,tfo,11,1,,,,,17.24
867,2005,tfo,11,1,,,,,14.64
869,2004,tfo,11,2,,,,,14.14
871,2005,tfo,11,1,,,,,15.14
877,2004,tfo,12,4,116.71,238.91,564.55,,116.71
878,2004,tfo,12,2,116.1,,,,55.04
879,2004,tfo,11,2,,275.3,578.57,,275.3
879,2005,xc,12,1,,,,1027,1027
879,2005,tfo,12,3,,274.9,567.26,,274.9
882,2004,tfo,11,3,134.1,268.6,615.3,,134.1
882,2005,tfo,12,4,130.6,269.7,596.6,,130.6
883,2004,tfo,10,2,147.7,294.7,,,147.7
883,2006,xc,12,6,,,,1156,1156
884,2004,tfo,11,2,150.1,296.7,,,150.1
884,2005,tfo,12,3,143.4,286.7,,,143.4
885,2004,tfo,12,2,140.8,294.3,,,140.8
886,2004,tfo,10,2,,266.4,566.26,,266.4
886,2005,xc,11,1,,,,1024,1024
886,2005,tfo,11,3,127.7,257.42,554.34,,127.7
886,2006,xc,12,10,,,,972,972
886,2006,tfo,12,3,124.8,257.4,578.2,,124.8
887,2004,tfo,10,1,,,,,53.59
887,2005,tfo,11,2,146.7,,,,53.14
887,2006,xc,12,9,,,,1070,1070
887,2006,tfo,12,3,129.7,,,,23.64
888,2004,tfo,10,2,,,,,11.54
888,2005,tfo,11,2,,,,,11.74
888,2006,tfo,12,2,,,,,24.14
