gender,rank,points,school,cls,appearances
M,1,2930,South Eugene,6A,57
M,2,2034,Central Catholic,6A,36
M,3,2004,Jesuit,6A,37
M,4,1864,Philomath,4A,52
M,5,1760,Union (inc.Union/Cove),2A/1A,36
M,6,1706,Bend,5A,37
M,7,1536,Grant,6A,37
M,8,1438,Crater,5A,20
M,9,1404,Siuslaw,3A,34
M,10,1346,Ashland,5A,37
M,11,1328,Sunset,6A,35
M,12,1142,Lincoln,6A,40
M,13,1136,Phoenix,4A,31
M,14,1096,Astoria,4A,32
M,15,1056,Summit,5A,19
M,16,1038,The Dalles,4A,31
M,17,1028,Corvallis,5A,32
M,18,1028,Klamath Union,4A,25
M,19,1022,Rogue River,3A,24
M,20,1012,Wilsonville,5A,26
M,21,1000,Scappoose,4A,42
M,22,988,Chemawa,2A/1A,27
M,23,984,Crescent Valley,5A,38
M,24,954,Franklin,6A,27
M,25,952,Ida,B,
M,26,942,Madras,4A,21
M,27,922,Oakridge,2A/1A,29
M,28,896,Tillamook,4A,27
M,29,894,Enterprise,3A,19
M,30,872,Brookings-Harbor,3A,26
M,31,844,Hermiston,5A,21
M,32,840,Crook County,5A,22
M,33,830,Canyonville Christian,2A/1A,26
M,34,822,Reedsport,2A/1A,23
M,35,818,North Eugene,5A,18
M,36,808,South Salem,6A,25
M,37,784,Bandon,2A/1A,25
M,38,784,Henley,4A,21
M,39,784,Marist,4A,24
M,40,782,Valley Catholic,3A,15
M,41,780,Vernonia,2A/1A,20
M,42,764,Gladstone,4A,14
M,43,740,Mountain View,5A,21
M,44,738,West Linn,6A,28
M,45,732,Pleasant Hill,3A,19
M,46,716,Gilchrist,2A/1A,16
M,47,682,Centennial,6A,25
M,48,682,Marshfield,4A,20
M,49,678,Lake Oswego,6A,20
M,50,676,Lakeridge,6A,24
M,51,658,Sheldon,6A,21
M,52,648,McKenzie,2A/1A,20
M,53,636,Westside Christian,3A,24
M,54,624,Regis,2A/1A,22
M,55,624,Sisters,3A,20
M,56,620,Molalla,4A,24
M,57,608,Beaverton,6A,17
M,58,592,Pacific,2A/1A,21
M,59,584,Glide,2A/1A,21
M,60,566,Burns,3A,23
M,61,566,Canby,5A,23
M,62,548,Catlin Gabel,3A,16
M,63,548,La Salle Prep,5A,17
M,64,542,North Medford,6A,17
